key	value
garwin_sanford	1149
gary-werntz	1150
gary_anthony_williams	1151
gary_busey	1152
gary_cervantes	1153
gary_cole	1154
gary_dourdan	1155
gary_oldman	1156
gary_owens	1157
gary_sinise	1158
gary_taylor	1159
gary_toy	1160
gastone_rossilli	1161
gates_mcfadden	1162
gavin_lee	1163
gavin_wilkinson	1164
gd_spradlin	1165
gedde_watanabe	1166
gem_collingwood	1167
gemma_jones	1168
gemmenne_de_la_pena	1169
gena_rowlands	1170
gene_barry	1171
gene_hackman	1172
gene_kelly	1173
genevieve_bujold	1174
geno_silva	1175
geoff_stults	1176
geoffrey_blake	1177
geoffrey_rush	1178
georgann_johnson	1179
george_clooney	1180
george_costigan	1181
george_epperson	1182
george_gallo	1183
george_kelly	1184
george_kennedy	1185
george_leonarpopoulas	1186
george_lopez	1187
george_lucas	1188
george_mcdaniel	1189
george_orrison	1190
george_plimpton	1191
george_sanders	1192
george_wallace	1193
georgia_creighton	1194
georgie-glen	1195
georgina_hagerty	1196
geraldine_chaplin	1197
geraldine_james	1198
geraldine_mcewan	1199
geraldine_quinn	1200
gerard_butler	1201
gerard_depardieu	1202
gerard_mcsorley	1203
gero_camilo	1204
gerritgraham	1205
giancarlo_esposito	1206
giancarlo_giannini	1207
gianni_russo	1208
gibb_mclaughlin	1209
gil_baretto	1210
gil_rankin	1211
gillian_armstrong	1212
gina_gershon	1213
giorgio_cantarini	1214
giovanni_ribisi	1215
giuseppe_verdi	1216
glen_campbell	1217
glen_chin	1218
glenn_close	1219
glenn_fitzgerald	1220
glenn_gordon_caron	1221
glenn_howerton	1222
glenn_morshower	1223
glenn_plummer	1224
glenn_shadix	1225
gloria_e_gifford	1226
gloria_stuart	1227
goldie_hawn	1228
gong_li	1229
goran_kostic	1230
goran_miraj_grbic	1231
gordana_vukres	1232
gordon_harker	1233
gore_verbinski	1234
grace_phillips	1235
grace_zabriskie	1236
grady_holder	1237
grady_sutton	1238
graeme_clifford	1239
graeme_crowther	1240
graham_crowden	1241
graham_mcduff	1242
greet_botterman	1243
greg-berg	1244
greg_germann	1245
greg_grunberg	1246
greg_joung_paik	1247
greg_kinnear	1248
gregory-dark	1249
gregory_edward_smith	1250
gregory_hoblit	1251
gregory_jbara	1252
gregory_peck	1253
gretchen_mol	1254
gugun_deep_singh	1255
guilia_florimo	1256
guillaume_canet	1257
gunilla_karlson	1258
gunnar_madsen	1259
gus_leonard	1260
gus_lynch	1261
gus_van_sant	1262
gustavo_sanchez_parra	1263
guy_pearce	1264
guy_richardson	1265
guy_stevenson	1266
guy_torry	1267
gwen_verdon	1268
gwyneth_paltrow	1269
hal_landon_jr	1270
hal_scardino	1271
halcro_johnston	1272
haley_joel_osment	1273
hallee_hirsh	1274
hank_azaria	1275
hank_mccann	1276
hannah-lochner	1277
hans_gudegast	1278
harald_doornbos	1279
harley_cross	1280
harold_goodwin	1281
harold_lloyd	1282
harold_perrineau_jr	1283
harold_pinter	1284
harold_ramis	1285
harris_yulin	1286
harrison-young	1287
harrison_ford	1288
harry_connick_jr	1289
harry_dean_stanton	1290
harry_jones	1291
harry_monty	1292
harry_shearer	1293
harry_terry	1294
harsh_nayyar	1295
hart_bochner	1296
harve_presnell	1297
harvey_atkin	1298
harvey_jason	1299
harvey_keitel	1300
harvey_miller	1301
hattie_winston	1302
hawthorne_james	1303
hay_petrie	1304
heath_ledger	1305
heather_deloach	1306
heather_goldenhersh	1307
heather_graham	1308
heavy_d	1309
hector_elizondo	1310
heidi_levitt	1311
helen_hunt	1312
helen_mccrory	1313
helen_mirren	1314
helen_siff	1315
helena-bonham-carter	1316
henrietta_mantooth	1317
henry_brown	1318
henry_caplan	1319
henry_cavill	1320
henry_czerny	1321
henry_selick	1322
herbert_duncanson	1323
herbert_fux	1324
