players	count	points
Aaron Brooks,Carl Landry,Joey Dorsey,Shane Battier,Trevor Ariza	1	7.0
Aaron Brooks,Carl Landry,Kirk Snyder,Mike James,Steve Novak	1	10.0
Aaron Brooks,Carl Landry,Kyle Lowry,Luis Scola,Ron Artest	2	5.0
Aaron Brooks,Carl Landry,Kyle Lowry,Luis Scola,Shane Battier	6	5.5
Aaron Brooks,Carl Landry,Kyle Lowry,Luis Scola,Tracy McGrady	1	5.0
Aaron Brooks,Carl Landry,Kyle Lowry,Luis Scola,Trevor Ariza	19	6.421052631578948
Aaron Brooks,Carl Landry,Kyle Lowry,Ron Artest,Yao Ming	1	5.0
Aaron Brooks,Carl Landry,Kyle Lowry,Shane Battier,Trevor Ariza	11	5.818181818181818
Aaron Brooks,Carl Landry,Kyle Lowry,Shane Battier,Yao Ming	2	8.0
Aaron Brooks,Carl Landry,Kyle Lowry,Von Wafer,Yao Ming	1	6.0
Aaron Brooks,Carl Landry,Loren Woods,Luther Head,Steve Novak	1	2.0
Aaron Brooks,Carl Landry,Luis Scola,Luther Head,Mike James	1	15.0
Aaron Brooks,Carl Landry,Luis Scola,Luther Head,Ron Artest	1	4.0
Aaron Brooks,Carl Landry,Luis Scola,Luther Head,Shane Battier	1	5.0
Aaron Brooks,Carl Landry,Luis Scola,Luther Head,Tracy McGrady	2	6.0
Aaron Brooks,Carl Landry,Luis Scola,Mike Harris,Tracy McGrady	1	4.0
Aaron Brooks,Carl Landry,Luis Scola,Mike James,Rafer Alston	1	9.0
Aaron Brooks,Carl Landry,Luis Scola,Mike James,Steve Novak	1	7.0
Aaron Brooks,Carl Landry,Luis Scola,Rafer Alston,Ron Artest	1	4.0
Aaron Brooks,Carl Landry,Luis Scola,Rafer Alston,Shane Battier	1	11.0
Aaron Brooks,Carl Landry,Luis Scola,Rafer Alston,Von Wafer	5	9.0
Aaron Brooks,Carl Landry,Luis Scola,Ron Artest,Shane Battier	8	7.5
Aaron Brooks,Carl Landry,Luis Scola,Ron Artest,Tracy McGrady	8	5.125
Aaron Brooks,Carl Landry,Luis Scola,Ron Artest,Von Wafer	6	5.333333333333333
Aaron Brooks,Carl Landry,Luis Scola,Shane Battier,Steve Novak	1	5.0
Aaron Brooks,Carl Landry,Luis Scola,Shane Battier,Tracy McGrady	3	8.666666666666666
Aaron Brooks,Carl Landry,Luis Scola,Shane Battier,Trevor Ariza	33	8.303030303030303
Aaron Brooks,Carl Landry,Luis Scola,Shane Battier,Von Wafer	6	4.333333333333333
Aaron Brooks,Carl Landry,Luis Scola,Steve Novak,Tracy McGrady	2	5.0
Aaron Brooks,Carl Landry,Luis Scola,Tracy McGrady,Trevor Ariza	1	10.0
Aaron Brooks,Carl Landry,Luther Head,Mike Harris,Steve Novak	1	2.0
Aaron Brooks,Carl Landry,Luther Head,Ron Artest,Yao Ming	1	2.0
Aaron Brooks,Carl Landry,Luther Head,Shane Battier,Tracy McGrady	3	5.333333333333333
Aaron Brooks,Carl Landry,Luther Head,Shane Battier,Yao Ming	4	4.75
Aaron Brooks,Carl Landry,Luther Head,Steve Novak,Yao Ming	1	2.0
Aaron Brooks,Carl Landry,Luther Head,Tracy McGrady,Yao Ming	2	3.0
Aaron Brooks,Carl Landry,Luther Head,Von Wafer,Yao Ming	1	8.0
Aaron Brooks,Carl Landry,Rafer Alston,Ron Artest,Von Wafer	1	4.0
Aaron Brooks,Carl Landry,Rafer Alston,Ron Artest,Yao Ming	2	2.5
Aaron Brooks,Carl Landry,Rafer Alston,Tracy McGrady,Yao Ming	1	7.0
Aaron Brooks,Carl Landry,Rafer Alston,Von Wafer,Yao Ming	3	6.666666666666667
Aaron Brooks,Carl Landry,Ron Artest,Shane Battier,Tracy McGrady	1	4.0
Aaron Brooks,Carl Landry,Ron Artest,Shane Battier,Von Wafer	1	7.0
Aaron Brooks,Carl Landry,Ron Artest,Shane Battier,Yao Ming	10	7.6
Aaron Brooks,Carl Landry,Ron Artest,Tracy McGrady,Yao Ming	9	6.222222222222222
Aaron Brooks,Carl Landry,Ron Artest,Von Wafer,Yao Ming	5	7.8
Aaron Brooks,Carl Landry,Shane Battier,Steve Novak,Yao Ming	1	5.0
Aaron Brooks,Carl Landry,Shane Battier,Tracy McGrady,Yao Ming	2	3.0
Aaron Brooks,Carl Landry,Shane Battier,Von Wafer,Yao Ming	7	3.5714285714285716
Aaron Brooks,Carl Landry,Tracy McGrady,Von Wafer,Yao Ming	1	2.0
Aaron Brooks,Chase Budinger,Chuck Hayes,David Andersen,Kevin Martin	1	7.0
Aaron Brooks,Chase Budinger,Chuck Hayes,David Andersen,Kyle Lowry	1	2.0
Aaron Brooks,Chase Budinger,Chuck Hayes,David Andersen,Trevor Ariza	1	8.0
Aaron Brooks,Chase Budinger,Chuck Hayes,Jared Jeffries,Kevin Martin	1	3.0
